iter	RMSE
0	14.94041157
1	14.5514631
2	14.18206474
3	13.85605177
4	13.5403869
5	13.20346096
6	12.91596311
7	12.63262884
8	12.35782604
9	12.04343305
10	11.78190927
11	11.51170317
12	11.24791668
13	10.99949851
14	10.7559228
15	10.55136432
16	10.32823684
17	10.13806942
18	9.94389205
19	9.747821446
20	9.546535169
21	9.353726303
22	9.194693072
23	9.017609735
24	8.855663092
25	8.707303092
26	8.558711839
27	8.417350392
28	8.267742206
29	8.146179488
30	8.031997211
31	7.910357071
32	7.793798991
33	7.690699856
34	7.57997178
35	7.468542081
36	7.377112097
37	7.277991792
38	7.191254405
39	7.098964477
40	7.023361668
41	6.949603179
42	6.871802461
43	6.805318567
44	6.732367249
45	6.668516741
46	6.60546116
47	6.539016935
48	6.481424672
49	6.422233651
50	6.362654264
51	6.313009083
52	6.26652448
53	6.218271902
54	6.171827122
55	6.125909815
56	6.090065543
57	6.047056079
58	6.011930052
59	5.972716928
60	5.939092283
61	5.909976959
62	5.876672077
63	5.851247806
64	5.820429937
65	5.790060609
66	5.761293336
67	5.734388305
68	5.70621361
69	5.685498091
70	5.662759779
71	5.638745553
72	5.617193613
73	5.596602908
74	5.576068298
75	5.554011623
76	5.536233526
77	5.516440576
78	5.497676146
79	5.476641755
80	5.461191051
81	5.441483369
82	5.42223383
83	5.404532156
84	5.392860667
85	5.377547223
86	5.365268456
87	5.35093393
88	5.340243547
89	5.327601901
90	5.315795782
91	5.303870228
92	5.294990266
93	5.287196183
94	5.276919923
95	5.270096871
96	5.25694812
97	5.247337092
98	5.235174091
99	5.22516783
100	5.213223843
101	5.201982426
102	5.194121736
103	5.179314146
104	5.170678108
105	5.162809115
106	5.15322421
107	5.147292608
108	5.139476999
109	5.129534166
110	5.126222251
111	5.11803382
112	5.110276672
113	5.101947796
114	5.097999981
115	5.091513787
116	5.08472402
117	5.077429401
118	5.073806051
119	5.065395302
120	5.058252855
121	5.054906818
122	5.048633989
123	5.041800455
124	5.03709628
125	5.029823819
126	5.021500709
127	5.016848035
128	5.009738683
129	5.000246192
130	4.990072208
131	4.984608584
132	4.978271173
133	4.973435447
134	4.969521007
135	4.962207611
136	4.955448464
137	4.952755309
138	4.948163454
139	4.944982956
140	4.941112878
141	4.93847909
142	4.933484618
143	4.925891742
144	4.922501579
145	4.918195378
146	4.914051593
147	4.908498586
148	4.908013053
149	4.904698579
150	4.897088165
151	4.893820543
152	4.886626211
153	4.879934275
154	4.876852832
155	4.869447171
156	4.863501072
157	4.86050833
158	4.85827927
159	4.855049639
160	4.853053288
161	4.848718834
162	4.844341116
163	4.839186325
164	4.83512876
165	4.829878534
166	4.827338887
167	4.821518546
168	4.821221084
169	4.817884018
170	4.814445482
171	4.811892409
172	4.809567318
173	4.803260409
174	4.795727214
175	4.791953741
176	4.789160224
177	4.784871367
178	4.780812489
179	4.776655641
180	4.772067204
181	4.768824552
182	4.761427705
183	4.758717489
184	4.755900721
185	4.752757949
186	4.750096527
187	4.748982068
188	4.747750929
189	4.743646485
190	4.741228832
191	4.735402307
192	4.730863317
193	4.727872417
194	4.725895665
195	4.725734576
196	4.722276569
197	4.720343943
198	4.717105802
199	4.713508878
200	4.706528915
201	4.704158157
202	4.699556659
203	4.697271083
204	4.691744376
205	4.689545319
206	4.684705551
207	4.680934258
208	4.677957954
209	4.676157141
210	4.672636316
211	4.669331992
212	4.665178746
213	4.65980221
214	4.656959287
215	4.654763104
216	4.652820221
217	4.650597074
218	4.647343621
219	4.643265416
220	4.639442954
221	4.636780945
222	4.634788875
223	4.63275322
224	4.627837517
225	4.623893792
226	4.621595151
227	4.616604725
228	4.615662295
229	4.609330451
230	4.60878959
231	4.604650653
232	4.5984628
233	4.593791784
234	4.592339537
