iter	Passed	Remaining
0	0	68
1	1	60
2	1	57
3	2	56
4	2	55
5	3	55
6	4	53
7	4	52
8	5	51
9	5	50
10	6	49
11	6	48
12	7	47
13	7	46
14	8	45
15	8	45
16	9	44
17	9	44
18	10	44
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	20	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	23	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	28
49	27	27
50	28	27
51	28	26
52	28	25
53	29	25
54	29	24
55	30	23
56	30	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
